sep=,
Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhang, T., Li, J.","55728994600;42561605900;","Understanding and predicting the spatio-temporal spread of COVID-19 via integrating diffusive graph embedding and compartmental models",2021,"Transactions in GIS","25","6",,"3025","3047",,,"10.1111/tgis.12803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110114174&doi=10.1111%2ftgis.12803&partnerID=40&md5=6d181249cfe8949aac11bf32543c7106",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85110114174
"Prenkaj, B., Distante, D., Faralli, S., Velardi, P.","57200393698;14008871000;57193656573;6602082790;","Hidden space deep sequential risk prediction on student trajectories",2021,"Future Generation Computer Systems","125",,,"532","543",,2,"10.1016/j.future.2021.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110112835&doi=10.1016%2fj.future.2021.07.002&partnerID=40&md5=34683871d55b53268470f51e6ce82418",Article,"Final","",Scopus,2-s2.0-85110112835
"Hssayeni, M.D., Chala, A., Dev, R., Xu, L., Shaw, J., Furht, B., Ghoraani, B.","57192922651;57193408394;57216314604;57202308862;57193842353;7004960599;16244827900;","The forecast of COVID-19 spread risk at the county level",2021,"Journal of Big Data","8","1","99","","",,3,"10.1186/s40537-021-00491-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109620072&doi=10.1186%2fs40537-021-00491-1&partnerID=40&md5=774dfd63797ef5d3dba65bdac56062ea",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85109620072
"Zhu, Y., Wang, S., Wang, S., Wu, Q., Wang, L., Li, H., Wang, M., Niu, M., Zha, Y., Tian, J.","57200991106;57212092599;57204435282;55508390300;57218484040;15035194300;36609343900;55337539100;25651205700;57219101205;","Mix Contrast for COVID-19 Mild-to-Critical Prediction",2021,"IEEE Transactions on Biomedical Engineering","68","12",,"3725","3736",,1,"10.1109/TBME.2021.3085576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107376169&doi=10.1109%2fTBME.2021.3085576&partnerID=40&md5=9e4ca882deb219c460ba691a6a0ad14d",Article,"Final","",Scopus,2-s2.0-85107376169
"Ghosh, S., Anwar, T.","57202710986;50560960000;","Depression Intensity Estimation via Social Media: A Deep Learning Approach",2021,"IEEE Transactions on Computational Social Systems","8","6",,"1465","1474",,,"10.1109/TCSS.2021.3084154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107367572&doi=10.1109%2fTCSS.2021.3084154&partnerID=40&md5=4c1e80c7a9f6c151cd8c48ff2a8a8613",Article,"Final","",Scopus,2-s2.0-85107367572
"Mörch, C.M., Atsu, S., Cai, W., Li, X., Madathil, S.A., Liu, X., Mai, V., Tamimi, F., Dilhac, M.A., Ducret, M.","57203394464;56047062100;57222103206;57224205973;56524652600;57241470000;56842703200;57203030698;55179437600;56724067100;","Artificial Intelligence and Ethics in Dentistry: A Scoping Review",2021,"Journal of Dental Research","100","13",,"1452","1460",,1,"10.1177/00220345211013808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107187369&doi=10.1177%2f00220345211013808&partnerID=40&md5=cbb90cc804caf6a7d3fadeac6760e80d",Review,"Final","",Scopus,2-s2.0-85107187369
"Cheng, M., Yin, C., Nazarian, S., Bogdan, P.","57201587061;57219020532;10140969200;6602660680;","Deciphering the laws of social network-transcendent COVID-19 misinformation dynamics and implications for combating misinformation phenomena",2021,"Scientific Reports","11","1","10424","","",,5,"10.1038/s41598-021-89202-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106256148&doi=10.1038%2fs41598-021-89202-7&partnerID=40&md5=46109fc2abb54cf6ad70121377b967d0",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85106256148
"Majumder, D., Mazumder, S., Ghosal, P.","57223669043;57223710210;17434076300;","CARD Predictive Modeling and SEI Formulation: COVID-19 Statistics in India",2021,"Journal of The Institution of Engineers (India): Series B","102","6",,"1167","1176",,,"10.1007/s40031-021-00608-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106005754&doi=10.1007%2fs40031-021-00608-3&partnerID=40&md5=7b977c6331e3e3572197ec667d9c62c6",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85106005754
"Mohimont, L., Chemchem, A., Alin, F., Krajecki, M., Steffenel, L.A.","57223053530;55653119100;8329346700;7801544966;20436849800;","Convolutional neural networks and temporal CNNs for COVID-19 forecasting in France",2021,"Applied Intelligence","51","12",,"8784","8809",,5,"10.1007/s10489-021-02359-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104623499&doi=10.1007%2fs10489-021-02359-6&partnerID=40&md5=5cf512780bddecf5de400f840cc14a8f",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85104623499
"Sinha, A., Rathi, M.","16437485600;57204980627;","COVID-19 prediction using AI analytics for South Korea",2021,"Applied Intelligence","51","12",,"8579","8597",,4,"10.1007/s10489-021-02352-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104070618&doi=10.1007%2fs10489-021-02352-z&partnerID=40&md5=74718984dc00d646bd5493cb57639a01",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85104070618
"Glangetas, A., Hartley, M.-A., Cantais, A., Courvoisier, D.S., Rivollet, D., Shama, D.M., Perez, A., Spechbach, H., Trombert, V., Bourquin, S., Jaggi, M., Barazzone-Argiroffo, C., Gervaix, A., Siebert, J.N.","57221410503;55243297200;56189534300;25221247700;57222592738;57222592926;57155716200;54934421400;6603302610;57222593284;35190508300;55667090500;7004668790;57189618479;","Deep learning diagnostic and risk-stratification pattern detection for COVID-19 in digital lung auscultations: clinical protocol for a case–control and prospective cohort study",2021,"BMC Pulmonary Medicine","21","1","103","","",,2,"10.1186/s12890-021-01467-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103355814&doi=10.1186%2fs12890-021-01467-w&partnerID=40&md5=26b5c19cdab89dcaf5dbfa6e64c3b198",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85103355814
"Sun, C., Hong, S., Song, M., Li, H., Wang, Z.","57221670667;56245620000;57218499050;56095811600;56673154300;","Predicting COVID-19 disease progression and patient outcomes based on temporal deep learning",2021,"BMC Medical Informatics and Decision Making","21","1","45","","",,10,"10.1186/s12911-020-01359-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101151852&doi=10.1186%2fs12911-020-01359-9&partnerID=40&md5=6a29960cf4d7964ea885065e18d451f9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85101151852
"Schwab, P., Mehrjou, A., Parbhoo, S., Celi, L.A., Hetzel, J., Hofer, M., Schölkopf, B., Bauer, S.","57201496830;55747631400;57204600963;16033282700;6603859744;57219784555;7004460308;56410381900;","Real-time prediction of COVID-19 related mortality using electronic health records",2021,"Nature Communications","12","1","1058","","",,8,"10.1038/s41467-020-20816-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100919001&doi=10.1038%2fs41467-020-20816-7&partnerID=40&md5=3cb0bb386b5f9130f848b982dde353dc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100919001
"Xu, W., Sun, N.-N., Gao, H.-N., Chen, Z.-Y., Yang, Y., Ju, B., Tang, L.-L.","57221844309;57201558344;41761350800;57221855504;57221525134;57221254459;50661852000;","Risk factors analysis of COVID-19 patients with ARDS and prediction based on machine learning",2021,"Scientific Reports","11","1","2933","","",,18,"10.1038/s41598-021-82492-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100372623&doi=10.1038%2fs41598-021-82492-x&partnerID=40&md5=6d698850f5f736c4f7a7c28feef5eec0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100372623
"Tam, N.M., Pham, D.-H., Hiep, D.M., Tran, P.-T., Quang, D.T., Ngo, S.T.","54897372000;55964039500;56505417800;55908125500;57373456400;57195720517;","Searching and designing potential inhibitors for SARS-CoV-2 Mpro from natural sources using atomistic and deep-learning calculations",2021,"RSC Advances","11","61",,"38495","38504",,,"10.1039/d1ra06534c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121244087&doi=10.1039%2fd1ra06534c&partnerID=40&md5=8fd5980f6e42ebafaab5f1dad2f7245f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85121244087
"Wang, Z., Wang, H.","57305230400;56166541300;","Improving load forecast in energy markets during COVID-19",2021,"BuildSys 2021 - Proceedings of the 2021 ACM International Conference on Systems for Energy-Efficient Built Environments",,,,"168","171",,,"10.1145/3486611.3486648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120931691&doi=10.1145%2f3486611.3486648&partnerID=40&md5=539b6c90d33ae5540ab51f4ce1246cc7",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85120931691
"Comito, C., Pizzuti, C.","6602651162;6701593553;","Predicting COVID-19 with AI techniques: Current research and future directions",2021,"Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2021",,,,"518","524",,,"10.1145/3487351.3490958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124394110&doi=10.1145%2f3487351.3490958&partnerID=40&md5=6480b6ba730e428b8c8036a70b3374f0",Conference Paper,"Final","",Scopus,2-s2.0-85124394110
"Roy, P., Sarkar, S., Biswas, S., Chen, F., Chen, Z., Ramakrishnan, N., Lu, C.-T.","57348823700;57348868200;55537363500;57212529873;57193609343;35507966200;7404804653;","Deep diffusion-based forecasting of COVID-19 by incorporating network-level mobility information",2021,"Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2021",,,,"168","175",,,"10.1145/3487351.3488334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124383713&doi=10.1145%2f3487351.3488334&partnerID=40&md5=5c8ec63a59814cad66a57975d5eb37fc",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85124383713
"Bartoszewicz, J.M., Genske, U., Renard, B.Y.","57213420793;56733070600;25931246300;","Deep learning-based real-time detection of novel pathogens during sequencing",2021,"Briefings in bioinformatics","22","6",,"","",,,"10.1093/bib/bbab269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121953320&doi=10.1093%2fbib%2fbbab269&partnerID=40&md5=96765f06170ed2c3bec702ea15749e24",Article,"Final","",Scopus,2-s2.0-85121953320
"Li, G., Iyer, B., Prasath, V.B.S., Ni, Y., Salomonis, N.","57221862737;56131660400;57339658600;56029964100;6508164361;","DeepImmuno: deep learning-empowered prediction and generation of immunogenic peptides for T-cell immunity",2021,"Briefings in bioinformatics","22","6",,"","",,2,"10.1093/bib/bbab160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119611034&doi=10.1093%2fbib%2fbbab160&partnerID=40&md5=d48d1112d61b5e858b0698a8ffe6d310",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85119611034
"Jiang, C., Li, J., Wang, W., Ku, W.-S.","57224726908;57212537292;57194176009;35303076200;","Modeling Real Estate Dynamics Using Temporal Encoding",2021,"GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems",,,,"516","525",,,"10.1145/3474717.3484254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119178560&doi=10.1145%2f3474717.3484254&partnerID=40&md5=07d8fb4583998f5f4967f80803185f85",Conference Paper,"Final","",Scopus,2-s2.0-85119178560
"Segala, G., Doriguzzi-Corin, Peroni, C., Gazzini, T., Siracusa, D.","57387688000;57387845400;57220932855;57220935256;36242339500;","A practical and adaptive approach to predicting indoor co2",2021,"Applied Sciences (Switzerland)","11","22","10771","","",,,"10.3390/app112210771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121872854&doi=10.3390%2fapp112210771&partnerID=40&md5=37f79ffdd1140f4db3d1cdbb2a89fbd2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85121872854
"Ray, A., Chakraborty, T., Ghosh, D.","57202445941;57202199336;56225913500;","Optimized ensemble deep learning framework for scalable forecasting of dynamics containing extreme events",2021,"Chaos","31","11","111105","","",,,"10.1063/5.0074213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120357642&doi=10.1063%2f5.0074213&partnerID=40&md5=0f75ef64a81428178758b534154d25e1",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120357642
"Cabras, S.","11239547200;","A bayesian-deep learning model for estimating covid-19 evolution in Spain",2021,"Mathematics","9","22","2921","","",,1,"10.3390/math9222921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119625663&doi=10.3390%2fmath9222921&partnerID=40&md5=2b3be8560c2083feb5e76626446f3499",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119625663
"Aslam, S., Ayub, N., Farooq, U., Alvi, M.J., Albogamy, F.R., Rukh, G., Haider, S.I., Azar, A.T., Bukhsh, R.","57219493974;57208162797;56290013700;57204641546;57003696100;57353908300;56900612700;57208175025;57204628405;","Towards electric price and load forecasting using cnn-based ensembler in smart grid",2021,"Sustainability (Switzerland)","13","22","12653","","",,,"10.3390/su132212653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119170662&doi=10.3390%2fsu132212653&partnerID=40&md5=0e4182e37440e42c377743a2afc76b7e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85119170662
"Fitwi, A., Chen, Y., Sun, H., Harrod, R.","57211119557;57203162576;57215281113;57259826900;","Estimating interpersonal distance and crowd density with a single-edge camera",2021,"Computers","10","11","143","","",,2,"10.3390/computers10110143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119077406&doi=10.3390%2fcomputers10110143&partnerID=40&md5=8f2446b7d716d54a05729062a1f53f39",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85119077406
"Eze, P.U., Asogwa, C.O.","57338456600;42661082100;","Deep machine learning model trade-offs for malaria elimination in resource-constrained locations",2021,"Bioengineering","8","11","150","","",,,"10.3390/bioengineering8110150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119053339&doi=10.3390%2fbioengineering8110150&partnerID=40&md5=acb199c4eaa2b6a9cfa1150fec9c6e9c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119053339
"Kandasamy, V., Trojovský, P., Machot, F.A., Kyamakya, K., Bacanin, N., Askar, S., Abouhawwash, M.","57331532600;57217635928;37010953300;15822176300;37028223900;33367530800;56565521700;","Sentimental analysis of covid-19 related messages in social networks by involving an n-gram stacked autoencoder integrated in an ensemble learning scheme",2021,"Sensors","21","22","7582","","",,1,"10.3390/s21227582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118926540&doi=10.3390%2fs21227582&partnerID=40&md5=f263d1c70734a73a604e266ed255ac60",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118926540
"Gabbay, F., Bar-Lev, S., Montano, O., Hadad, N.","7004485810;13004226400;57328635800;57328173000;","A lime-based explainable machine learning model for predicting the severity level of covid-19 diagnosed patients",2021,"Applied Sciences (Switzerland)","11","21","10417","","",,,"10.3390/app112110417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118794340&doi=10.3390%2fapp112110417&partnerID=40&md5=bf0a1790fabba0e3f759a16a4153993b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118794340
"Xie, X., Li, M., Zhang, D.","57328112100;57328666300;57324659100;","A multiscale electricity price forecasting model based on tensor fusion and deep learning",2021,"Energies","14","21","7333","","",,,"10.3390/en14217333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118782586&doi=10.3390%2fen14217333&partnerID=40&md5=204db8f0630e08559986c4623f459e9a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118782586
"Shipman, R., Roberts, R., Waldron, J., Rimmer, C., Rodrigues, L., Gillott, M.","7004655586;57221768009;57193007335;57325072900;55174327500;8657967500;","Online machine learning of available capacity for vehicle-to-grid services during the coronavirus pandemic",2021,"Energies","14","21","7176","","",,,"10.3390/en14217176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118574053&doi=10.3390%2fen14217176&partnerID=40&md5=b83fa8234d433d38291ffb3140851d31",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118574053
"Aragão, D.P., Dos Santos, D.H., Mondini, A., Gonçalves, L.M.G.","57218418830;57190606005;8545562400;8843298100;","National holidays and social mobility behaviors: Alternatives for forecasting covid-19 deaths in brazil",2021,"International Journal of Environmental Research and Public Health","18","21","11595","","",,,"10.3390/ijerph182111595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118345929&doi=10.3390%2fijerph182111595&partnerID=40&md5=0bb9f390acec44b676aa2190e1f95bee",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118345929
"Lee, K., Lee, M., Na, I.","57316353500;57216616310;24825137400;","Predicting regional outbreaks of hepatitis a using 3d lstm and open data in korea",2021,"Electronics (Switzerland)","10","21","2668","","",,,"10.3390/electronics10212668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118216432&doi=10.3390%2felectronics10212668&partnerID=40&md5=90278a79782e64d2bac0d2b9248fd8ca",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118216432
"Aldhyani, T.H.H., Alkahtani, H.","57191275820;57221086789;","A bidirectional long short-term memory model algorithm for predicting covid-19 in gulf countries",2021,"Life","11","11","1118","","",,1,"10.3390/life11111118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118130409&doi=10.3390%2flife11111118&partnerID=40&md5=9ceb3f3d6886343701fbc6d03b047506",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118130409
"Safari, A., Hosseini, R., Mazinani, M.","57200580872;56240758500;14632282200;","A novel deep interval type-2 fuzzy LSTM (DIT2FLSTM) model applied to COVID-19 pandemic time-series prediction",2021,"Journal of Biomedical Informatics","123",,"103920","","",,,"10.1016/j.jbi.2021.103920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116938490&doi=10.1016%2fj.jbi.2021.103920&partnerID=40&md5=ce291a39eed7d5f25d0b4d0dae942d70",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85116938490
"Liao, Z., Lan, P., Fan, X., Kelly, B., Innes, A., Liao, Z.","22835605400;57212274574;7403393976;55963709700;57212559010;57221204064;","SIRVD-DL: A COVID-19 deep learning prediction model based on time-dependent SIRVD",2021,"Computers in Biology and Medicine","138",,"104868","","",,1,"10.1016/j.compbiomed.2021.104868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115439458&doi=10.1016%2fj.compbiomed.2021.104868&partnerID=40&md5=f2071f9db141f8f32eb38006d96925ed",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85115439458
"Yao, Y., Geara, T.G., Shi, W.","57214765883;55498797200;7402664239;","Impact of COVID-19 on city-scale transportation and safety: An early experience from Detroit",2021,"Smart Health","22",,"100218","","",,1,"10.1016/j.smhl.2021.100218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115013924&doi=10.1016%2fj.smhl.2021.100218&partnerID=40&md5=e3ea392236a22b67fbb6ffaf1b786a0e",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85115013924
"Iloanusi, O., Ross, A.","53877367500;7402568052;","Leveraging weather data for forecasting cases-to-mortality rates due to COVID-19",2021,"Chaos, Solitons and Fractals","152",,"111340","","",,1,"10.1016/j.chaos.2021.111340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114032372&doi=10.1016%2fj.chaos.2021.111340&partnerID=40&md5=a1afa435f962b1db11dd86faf83650e2",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85114032372
"Dash, S., Chakravarty, S., Mohanty, S.N., Pattanaik, C.R., Jain, S.","57226213013;57195415412;36170793300;57216617815;57203018058;","A Deep Learning Method to Forecast COVID-19 Outbreak",2021,"New Generation Computing","39","3-4",,"515","539",,5,"10.1007/s00354-021-00129-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110641755&doi=10.1007%2fs00354-021-00129-z&partnerID=40&md5=242600f3021cb22c19d7be4c54e6e79d",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85110641755
"Šušteršič, T., Blagojević, A., Cvetković, D., Cvetković, A., Lorencin, I., Šegota, S.B., Milovanović, D., Baskić, D., Car, Z., Filipović, N.","56497125500;57221644412;55041808400;41361105000;57211337492;57215964203;57204473227;6507335030;24464778100;35749660900;","Epidemiological Predictive Modeling of COVID-19 Infection: Development, Testing, and Implementation on the Population of the Benelux Union",2021,"Frontiers in Public Health","9",,"727274","","",,,"10.3389/fpubh.2021.727274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118997229&doi=10.3389%2ffpubh.2021.727274&partnerID=40&md5=c3f2d9e145fb8643d1d925d098a8bb17",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118997229
"Kumar, R.L., Khan, F., Din, S., Band, S.S., Mosavi, A., Ibeke, E.","57220843459;57211607432;57188997144;57221738247;57191408081;56781544500;","Recurrent Neural Network and Reinforcement Learning Model for COVID-19 Prediction",2021,"Frontiers in Public Health","9",,"744100","","",,4,"10.3389/fpubh.2021.744100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117208326&doi=10.3389%2ffpubh.2021.744100&partnerID=40&md5=3d3fc28b98b0f800a4e05e0c8642a0f1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117208326
"Kwon, J.-M., Lee, Y.R., Jung, M.-S., Lee, Y.-J., Jo, Y.-Y., Kang, D.-Y., Lee, S.Y., Cho, Y.-H., Shin, J.-H., Ban, J.-H., Kim, K.-H.","57202893940;57305081800;57222357554;57222355438;57220160414;57305175500;57192516518;57222356995;57222352174;57222362228;57209988283;","Deep-learning model for screening sepsis using electrocardiography",2021,"Scandinavian journal of trauma, resuscitation and emergency medicine","29","1",,"145","",,,"10.1186/s13049-021-00953-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117635824&doi=10.1186%2fs13049-021-00953-8&partnerID=40&md5=baa9a83fbfe94027ac203f0f82bff595",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117635824
"Berhich, A., Jebli, I., Mbilong, P.M., El Kassiri, A., Belouadha, F.-Z.","57217050837;57217246570;57222957633;57188707135;24528235000;","Multiple output and multi-steps prediction of COVID-19 spread using weather and vaccination data",2021,"Ingenierie des Systemes d'Information","26","5",,"425","436",,,"10.18280/isi.260501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120652786&doi=10.18280%2fisi.260501&partnerID=40&md5=e85eab2f837e1a07977210e407fb5c29",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85120652786
"Fard, S.G., Rahimi, H.M., Motie, P., Minabi, M.A.S., Taheri, M., Nateghinia, S.","57368357400;57367319600;57225068708;57368149100;56370131000;57215826792;","Application of machine learning in the prediction of COVID-19 daily new cases: A scoping review",2021,"Heliyon","7","10","e08143","","",,2,"10.1016/j.heliyon.2021.e08143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119923243&doi=10.1016%2fj.heliyon.2021.e08143&partnerID=40&md5=00d45b031deaa12acb703347dc7bedb6",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119923243
"Widiputra, H.","34880995700;","GA-optimized multivariate CNN-LSTM model for predicting multi-channel mobility in the COVID-19 pandemic",2021,"Emerging Science Journal","5","5",,"619","635",,1,"10.28991/esj-2021-01300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118100745&doi=10.28991%2fesj-2021-01300&partnerID=40&md5=b82e07a262dedb0b23dea06591cc6e2c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118100745
"Gu, K., Liu, H., Xia, Z., Qiao, J., Lin, W., Thalmann, D.","55265130000;57222622163;57194154487;9634105900;8574872000;7005885082;","PM2.5Monitoring: Use Information Abundance Measurement and Wide and Deep Learning",2021,"IEEE Transactions on Neural Networks and Learning Systems","32","10",,"4278","4290",,5,"10.1109/TNNLS.2021.3105394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117180092&doi=10.1109%2fTNNLS.2021.3105394&partnerID=40&md5=5ae39b4dbbcf48bfda2e8de8d8e7f385",Article,"Final","",Scopus,2-s2.0-85117180092
"Bastidas, O.J., Zahia, S., Fuente-Vidal, A., Férez, N.S., Noguera, O.R., Montane, J., Garcia-Zapirain, B.","57295680900;57201091335;57214241188;57295352700;57295023000;8093607900;35732954700;","Predicting physical exercise adherence in fitness apps using a deep learning approach",2021,"International Journal of Environmental Research and Public Health","18","20","10769","","",,1,"10.3390/ijerph182010769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117018279&doi=10.3390%2fijerph182010769&partnerID=40&md5=a2bb48a3ba82ce68bd92ca06ffdc2efc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117018279
"Naseem, M., Arshad, H., Hashimi, S.A., Irfan, F., Ahmed, F.S.","57216369848;57216752701;57221708348;24343870900;57208748761;","Predicting mortality in SARS-COV-2 (COVID-19) positive patients in the inpatient setting using a novel deep neural network",2021,"International Journal of Medical Informatics","154",,"104556","","",,,"10.1016/j.ijmedinf.2021.104556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113650664&doi=10.1016%2fj.ijmedinf.2021.104556&partnerID=40&md5=0344c16ccb94c5460fd006b157f01c63",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85113650664
"Rauf, H.T., Gao, J., Almadhor, A., Arif, M., Nafis, M.T.","57204077842;57215610933;57202875014;56452459100;57200752772;","Enhanced bat algorithm for COVID-19 short-term forecasting using optimized LSTM",2021,"Soft Computing","25","20",,"12989","12999",,6,"10.1007/s00500-021-06075-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112335432&doi=10.1007%2fs00500-021-06075-8&partnerID=40&md5=cf28199ccfbf20948fcd2dbc5acd55e1",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85112335432
"Ekinci, E., İlhan Omurca, S., Özbay, B.","55293166200;55014691600;37091382400;","Comparative assessment of modeling deep learning networks for modeling ground-level ozone concentrations of pandemic lock-down period",2021,"Ecological Modelling","457",,"109676","","",,,"10.1016/j.ecolmodel.2021.109676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111907797&doi=10.1016%2fj.ecolmodel.2021.109676&partnerID=40&md5=814afe97629e7ba6a4457ce58f3e8f79",Article,"Final","",Scopus,2-s2.0-85111907797
"Karaman, O., Alhudhaif, A., Polat, K.","56511598200;56404673400;8945093900;","Development of smart camera systems based on artificial intelligence network for social distance detection to fight against COVID-19",2021,"Applied Soft Computing","110",,"107610","","",,3,"10.1016/j.asoc.2021.107610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108787629&doi=10.1016%2fj.asoc.2021.107610&partnerID=40&md5=e51b4edd67e71d25f9a5850df2c9991f",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85108787629
"Said, A.B., Erradi, A., Aly, H.A., Mohamed, A.","56495176100;11641389000;57214719818;57214654274;","Predicting COVID-19 cases using bidirectional LSTM on multivariate time series",2021,"Environmental Science and Pollution Research","28","40",,"56043","56052",,3,"10.1007/s11356-021-14286-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106746934&doi=10.1007%2fs11356-021-14286-7&partnerID=40&md5=09aa5ca4c6e05722d1920b931678fe0a",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85106746934
