PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
34394298;COVID-19 mortality rate prediction for India using statistical neural networks and gaussian process regression model;Dhamodharavadhani S, Rathipriya R.;Afr Health Sci. 2021 Mar,21(1):194-206. doi: 10.4314/ahs.v21i1.26.;Dhamodharavadhani S;Afr Health Sci;2021;16-8-2021;PMC8356626;;10.4314/ahs.v21i1.26
32545581;Artificial Neural Network Modeling of Novel Coronavirus (COVID-19) Incidence Rates across the Continental United States;Mollalo A, Rivera KM, Vahedi B.;Int J Environ Res Public Health. 2020 Jun 12,17(12):4204. doi: 10.3390/ijerph17124204.;Mollalo A;Int J Environ Res Public Health;2020;18-6-2020;PMC7344609;;10.3390/ijerph17124204
34996524;Application of artificial intelligence in cataract management: current and future directions;Gutierrez L, Lim JS, Foo LL, Ng WYY, Yip M, Lim GYS, Wong MHY, Fong A, Rosman M, Mehta JS, Lin H, Ting DSJ, Ting DSW.;Eye Vis (Lond). 2022 Jan 7,9(1):3. doi: 10.1186/s40662-021-00273-z.;Gutierrez L;Eye Vis (Lond);2022;8-1-2022;PMC8739505;;10.1186/s40662-021-00273-z
33576611;Predictive Modeling of Virus Inactivation by UV;Rockey NC, Henderson JB, Chin K, Raskin L, Wigginton KR.;Environ Sci Technol. 2021 Mar 2,55(5):3322-3332. doi: 10.1021/acs.est.0c07814. Epub 2021 Feb 12.;Rockey NC;Environ Sci Technol;2021;12-2-2021;;;10.1021/acs.est.0c07814
34376920;Forecasting the impact of environmental stresses on the frequent waves of COVID19;Yu Z, Abdel-Salam AG, Sohail A, Alam F.;Nonlinear Dyn. 2021,106(2):1509-1523. doi: 10.1007/s11071-021-06777-6. Epub 2021 Aug 5.;Yu Z;Nonlinear Dyn;2021;11-8-2021;PMC8339161;;10.1007/s11071-021-06777-6
35031444;Spatially refined time-varying reproduction numbers of SARS-CoV-2 in Arkansas and Kentucky and their relationship to population size and public health policy, March - November 2020;Politis MD, Hua X, Ogwara CA, Davies MR, Adebile TM, Sherman MP, Zhou X, Chowell G, Spaulding AC, Fung IC.;Ann Epidemiol. 2022 Jan 11,68:37-44. doi: 10.1016/j.annepidem.2021.12.012. Online ahead of print.;Politis MD;Ann Epidemiol;2022;15-1-2022;PMC8750695;;10.1016/j.annepidem.2021.12.012
33554119;Interpretable detection of novel human viruses from genome sequencing data;Bartoszewicz JM, Seidel A, Renard BY.;NAR Genom Bioinform. 2021 Feb 1,3(1):lqab004. doi: 10.1093/nargab/lqab004. eCollection 2021 Mar.;Bartoszewicz JM;NAR Genom Bioinform;2021;8-2-2021;PMC7849996;;10.1093/nargab/lqab004
34556753;Emergence of universality in the transmission dynamics of COVID-19;Paul A, Bhattacharjee JK, Pal A, Chakraborty S.;Sci Rep. 2021 Sep 23,11(1):18891. doi: 10.1038/s41598-021-98302-3.;Paul A;Sci Rep;2021;24-9-2021;PMC8460722;;10.1038/s41598-021-98302-3
32834831;An IoT-based framework for early identification and monitoring of COVID-19 cases;Otoom M, Otoum N, Alzubaidi MA, Etoom Y, Banihani R.;Biomed Signal Process Control. 2020 Sep,62:102149. doi: 10.1016/j.bspc.2020.102149. Epub 2020 Aug 15.;Otoom M;Biomed Signal Process Control;2020;25-8-2020;PMC7428786;;10.1016/j.bspc.2020.102149
34735351;Dynamic Hybrid Model to Forecast the Spread of COVID-19 Using LSTM and Behavioral Models Under Uncertainty;Zandavi SM, Rashidi TH, Vafaee F.;IEEE Trans Cybern. 2021 Nov 4,PP. doi: 10.1109/TCYB.2021.3120967. Online ahead of print.;Zandavi SM;IEEE Trans Cybern;2021;4-11-2021;;;10.1109/TCYB.2021.3120967
34939043;Deep Learning for the discovery of new pre-miRNAs: Helping the fight against COVID-19;Bugnon LA, Raad J, Merino GA, Yones C, Ariel F, Milone DH, Stegmayer G.;Mach Learn Appl. 2021 Dec 15,6:100150. doi: 10.1016/j.mlwa.2021.100150. Epub 2021 Sep 9.;Bugnon LA;Mach Learn Appl;2021;23-12-2021;PMC8427907;;10.1016/j.mlwa.2021.100150
34115607;Monitoring beliefs and physiological measures in students at risk for COVID-19 using wearable sensors and smartphone technology: Protocol for a mobile health study;Cislo C, Clingan C, Gilley K, Rozwadowski M, Gainsburg I, Bradley C, Barabas J, Sandford E, Olesnavich M, Tyler J, Mayer C, DeMoss M, Flora C, Forger DB, Cunningham JL, Tewari M, Choi SW.;JMIR Res Protoc. 2021 Jun 4,10(6):e29561. doi: 10.2196/29561. Online ahead of print.;Cislo C;JMIR Res Protoc;2021;11-6-2021;PMC8386373;;10.2196/29561
34122093;Systemic Corticosteroid Administration in Coronavirus Disease 2019 Outcomes: An Umbrella Meta-Analysis Incorporating Both Mild and Pulmonary Fibrosis-Manifested Severe Disease;Cheng B, Ma J, Yang Y, Shao T, Zhao B, Zeng L.;Front Pharmacol. 2021 May 26,12:670170. doi: 10.3389/fphar.2021.670170. eCollection 2021.;Cheng B;Front Pharmacol;2021;14-6-2021;PMC8187793;;10.3389/fphar.2021.670170
34554359;COVID-19 risk index (CRI): a simple and validated emergency department risk score that predicts mortality and the need for mechanical ventilation;Raad M, Gorgis S, Abshire C, Yost M, Dabbagh MF, Chehab O, Aurora L, Patel S, Nona P, Yan J, Singh G, Syrjamaki J, Kaatz S, Parikh S.;J Thromb Thrombolysis. 2021 Sep 23:1-9. doi: 10.1007/s11239-021-02565-6. Online ahead of print.;Raad M;J Thromb Thrombolysis;2021;23-9-2021;PMC8458044;;10.1007/s11239-021-02565-6
34764607;Explainable deep neural networks for novel viral genome prediction;Dasari CM, Bhukya R.;Appl Intell (Dordr). 2021 Jun 25:1-16. doi: 10.1007/s10489-021-02572-3. Online ahead of print.;Dasari CM;Appl Intell (Dordr);2021;12-11-2021;PMC8232563;;10.1007/s10489-021-02572-3
34741093;Spatio-temporal prediction of the COVID-19 pandemic in US counties: modeling with a deep LSTM neural network;Nikparvar B, Rahman MM, Hatami F, Thill JC.;Sci Rep. 2021 Nov 5,11(1):21715. doi: 10.1038/s41598-021-01119-3.;Nikparvar B;Sci Rep;2021;6-11-2021;PMC8571358;;10.1038/s41598-021-01119-3
33680869;Classification of covid related articles using machine learning;Godavarthi D, A MS.;Mater Today Proc. 2021 Feb 28. doi: 10.1016/j.matpr.2021.01.480. Online ahead of print.;Godavarthi D;Mater Today Proc;2021;8-3-2021;PMC7916526;;10.1016/j.matpr.2021.01.480
34301657;Temporal trends in the association of social vulnerability and race/ethnicity with county-level COVID-19 incidence and outcomes in the USA: an ecological analysis;Islam SJ, Nayak A, Hu Y, Mehta A, Dieppa K, Almuwaqqat Z, Ko YA, Patel SA, Goyal A, Sullivan S, Lewis TT, Vaccarino V, Morris AA, Quyyumi AA.;BMJ Open. 2021 Jul 22,11(7):e048086. doi: 10.1136/bmjopen-2020-048086.;Islam SJ;BMJ Open;2021;24-7-2021;PMC8300549;;10.1136/bmjopen-2020-048086
34525746;Viral outbreaks detection and surveillance using wastewater-based epidemiology, viral air sampling, and machine learning techniques: A comprehensive review and outlook;Abdeldayem OM, Dabbish AM, Habashy MM, Mostafa MK, Elhefnawy M, Amin L, Al-Sakkari EG, Ragab A, Rene ER.;Sci Total Environ. 2022 Jan 10,803:149834. doi: 10.1016/j.scitotenv.2021.149834. Epub 2021 Aug 21.;Abdeldayem OM;Sci Total Environ;2022;16-9-2021;PMC8379898;;10.1016/j.scitotenv.2021.149834
34364406;COVID-19 hospitalisation, mortality, vaccination, and postvaccination trends among people with schizophrenia in Israel: a longitudinal cohort study;Tzur Bitan D, Kridin K, Cohen AD, Weinstein O.;Lancet Psychiatry. 2021 Oct,8(10):901-908. doi: 10.1016/S2215-0366(21)00256-X. Epub 2021 Aug 6.;Tzur Bitan D;Lancet Psychiatry;2021;8-8-2021;PMC8342316;;10.1016/S2215-0366(21)00256-X
33613099;Coronavirus disease 2019 (COVID-19): survival analysis using deep learning and Cox regression model;Atlam M, Torkey H, El-Fishawy N, Salem H.;Pattern Anal Appl. 2021,24(3):993-1005. doi: 10.1007/s10044-021-00958-0. Epub 2021 Feb 15.;Atlam M;Pattern Anal Appl;2021;22-2-2021;PMC7883884;;10.1007/s10044-021-00958-0
32565882;Modeling the Spread of COVID-19 Infection Using a Multilayer Perceptron;Car Z, Baressi Šegota S, Anđelić N, Lorencin I, Mrzljak V.;Comput Math Methods Med. 2020 May 29,2020:5714714. doi: 10.1155/2020/5714714. eCollection 2020.;Car Z;Comput Math Methods Med;2020;23-6-2020;PMC7260624;;10.1155/2020/5714714
32843824;Time series forecasting of Covid-19 using deep learning models: India-USA comparative case study;Shastri S, Singh K, Kumar S, Kour P, Mansotra V.;Chaos Solitons Fractals. 2020 Nov,140:110227. doi: 10.1016/j.chaos.2020.110227. Epub 2020 Aug 20.;Shastri S;Chaos Solitons Fractals;2020;27-8-2020;PMC7440083;;10.1016/j.chaos.2020.110227
34400853;Machine learning-based diffusion model for prediction of coronavirus-19 outbreak;Raheja S, Kasturia S, Cheng X, Kumar M.;Neural Comput Appl. 2021 Aug 12:1-20. doi: 10.1007/s00521-021-06376-x. Online ahead of print.;Raheja S;Neural Comput Appl;2021;17-8-2021;PMC8358916;;10.1007/s00521-021-06376-x
33157267;Prognostic value of liver biochemical parameters for COVID-19 mortality;Ye L, Chen B, Wang Y, Yang Y, Zeng J, Deng G, Deng Y, Zeng F.;Ann Hepatol. 2021 Mar-Apr,21:100279. doi: 10.1016/j.aohep.2020.10.007. Epub 2020 Nov 4.;Ye L;Ann Hepatol;2021;6-11-2020;PMC7609230;;10.1016/j.aohep.2020.10.007
33330881;COVID-19 PREDICTION IN SOUTH AFRICA: ESTIMATING THE UNASCERTAINED CASES- THE HIDDEN PART OF THE EPIDEMIOLOGICAL ICEBERG;Gu X, Mukherjee B, Das S, Datta J.;medRxiv. 2021 Mar 5:2020.12.10.20247361. doi: 10.1101/2020.12.10.20247361. Preprint.;Gu X;medRxiv;2021;17-12-2020;PMC7743090;;10.1101/2020.12.10.20247361
33263111;Supervised Machine Learning Models for Prediction of COVID-19 Infection using Epidemiology Dataset;Muhammad LJ, Algehyne EA, Usman SS, Ahmad A, Chakraborty C, Mohammed IA.;SN Comput Sci. 2021,2(1):11. doi: 10.1007/s42979-020-00394-7. Epub 2020 Nov 27.;Muhammad LJ;SN Comput Sci;2021;2-12-2020;PMC7694891;;10.1007/s42979-020-00394-7
34091385;Diagnosis and prediction of COVID-19 severity: can biochemical tests and machine learning be used as prognostic indicators?;Cobre AF, Stremel DP, Noleto GR, Fachi MM, Surek M, Wiens A, Tonin FS, Pontarolo R.;Comput Biol Med. 2021 Jul,134:104531. doi: 10.1016/j.compbiomed.2021.104531. Epub 2021 May 29.;Cobre AF;Comput Biol Med;2021;6-6-2021;PMC8164361;;10.1016/j.compbiomed.2021.104531
34977438;The efficacy of deep learning based LSTM model in forecasting the outbreak of contagious diseases;Absar N, Uddin N, Khandaker MU, Ullah H.;Infect Dis Model. 2022 Mar,7(1):170-183. doi: 10.1016/j.idm.2021.12.005. Epub 2021 Dec 28.;Absar N;Infect Dis Model;2022;3-1-2022;PMC8712463;;10.1016/j.idm.2021.12.005
32588674;COVID-19 pneumonia and immune-related pneumonitis: critical issues on differential diagnosis, potential interactions, and management;Russano M, Citarella F, Napolitano A, Dell'Aquila E, Cortellini A, Pantano F, Vincenzi B, Tonini G, Santini D.;Expert Opin Biol Ther. 2020 Sep,20(9):959-964. doi: 10.1080/14712598.2020.1789097. Epub 2020 Jul 2.;Russano M;Expert Opin Biol Ther;2020;27-6-2020;PMC7441753;;10.1080/14712598.2020.1789097
33619672;COVID-19 threatens maternal mental health and infant development: possible paths from stress and isolation to adverse outcomes and a call for research and practice;Venta A, Bick J, Bechelli J.;Child Psychiatry Hum Dev. 2021 Apr,52(2):200-204. doi: 10.1007/s10578-021-01140-7. Epub 2021 Feb 22.;Venta A;Child Psychiatry Hum Dev;2021;23-2-2021;PMC7899198;;10.1007/s10578-021-01140-7
34460393;PM₂.₅ Monitoring: Use Information Abundance Measurement and Wide and Deep Learning;Gu K, Liu H, Xia Z, Qiao J, Lin W, Thalmann D.;IEEE Trans Neural Netw Learn Syst. 2021 Oct,32(10):4278-4290. doi: 10.1109/TNNLS.2021.3105394. Epub 2021 Oct 5.;Gu K;IEEE Trans Neural Netw Learn Syst;2021;30-8-2021;;;10.1109/TNNLS.2021.3105394
34349156;Deep graph neural network-based prediction of acute suicidal ideation in young adults;Choi KS, Kim S, Kim BH, Jeon HJ, Kim JH, Jang JH, Jeong B.;Sci Rep. 2021 Aug 4,11(1):15828. doi: 10.1038/s41598-021-95102-7.;Choi KS;Sci Rep;2021;5-8-2021;PMC8338980;;10.1038/s41598-021-95102-7
33507932;Variational-LSTM autoencoder to forecast the spread of coronavirus across the globe;Ibrahim MR, Haworth J, Lipani A, Aslam N, Cheng T, Christie N.;PLoS One. 2021 Jan 28,16(1):e0246120. doi: 10.1371/journal.pone.0246120. eCollection 2021.;Ibrahim MR;PLoS One;2021;28-1-2021;PMC7842932;;10.1371/journal.pone.0246120
34098885;A comparison of five epidemiological models for transmission of SARS-CoV-2 in India;Purkayastha S, Bhattacharyya R, Bhaduri R, Kundu R, Gu X, Salvatore M, Ray D, Mishra S, Mukherjee B.;BMC Infect Dis. 2021 Jun 7,21(1):533. doi: 10.1186/s12879-021-06077-9.;Purkayastha S;BMC Infect Dis;2021;8-6-2021;PMC8181542;;10.1186/s12879-021-06077-9
34392141;A nomogram predicting severe COVID-19 based on a large study cohort from China;Liu S, Luo H, Lei Z, Xu H, Hao T, Chen C, Wang Y, Xie J, Liu L, Ju S, Qiu H, Wang D, Yang Y.;Am J Emerg Med. 2021 Dec,50:218-223. doi: 10.1016/j.ajem.2021.08.018. Epub 2021 Aug 9.;Liu S;Am J Emerg Med;2021;15-8-2021;PMC8351305;;10.1016/j.ajem.2021.08.018
33840175;Forecasting of the COVID-19 pandemic situation of Korea;Goo T, Apio C, Heo G, Lee D, Lee JH, Lim J, Han K, Park T.;Genomics Inform. 2021 Mar,19(1):e11. doi: 10.5808/gi.21028. Epub 2021 Mar 25.;Goo T;Genomics Inform;2021;12-4-2021;PMC8042305;;10.5808/gi.21028
34001937;Deciphering the laws of social network-transcendent COVID-19 misinformation dynamics and implications for combating misinformation phenomena;Cheng M, Yin C, Nazarian S, Bogdan P.;Sci Rep. 2021 May 17,11(1):10424. doi: 10.1038/s41598-021-89202-7.;Cheng M;Sci Rep;2021;18-5-2021;PMC8128875;;10.1038/s41598-021-89202-7
33431398;Access, Equity, and Neutral Space: Telehealth Beyond the Pandemic;Kaplan B.;Ann Fam Med. 2021 Jan-Feb,19(1):75-78. doi: 10.1370/afm.2633.;Kaplan B;Ann Fam Med;2021;12-1-2021;PMC7800734;;10.1370/afm.2633
34456617;Prediction of the COVID-19 infectivity and the sustainable impact on public health under deep learning algorithm;Wang W, Cai J, Xu J, Wang Y, Zou Y.;Soft comput. 2021 Aug 21:1-10. doi: 10.1007/s00500-021-06142-0. Online ahead of print.;Wang W;Soft comput;2021;30-8-2021;PMC8380005;;10.1007/s00500-021-06142-0
34863260;Study protocol for a randomized clinical trial to evaluate the effect of the use of Xylitol gum in the prevention of caries lesions in children living in Ladakh-the Caries Prevention Xylitol in Children (CaPreXCh) trial;Cagetti MG, Cocco F, Calzavara E, Augello D, Zangpoo P, Campus G.;Trials. 2021 Dec 4,22(1):871. doi: 10.1186/s13063-021-05828-y.;Cagetti MG;Trials;2021;5-12-2021;PMC8642765;;10.1186/s13063-021-05828-y
34404458;Machine learning identifies ICU outcome predictors in a multicenter COVID-19 cohort;Magunia H, Lederer S, Verbuecheln R, Gilot BJ, Koeppen M, Haeberle HA, Mirakaj V, Hofmann P, Marx G, Bickenbach J, Nohe B, Lay M, Spies C, Edel A, Schiefenhövel F, Rahmel T, Putensen C, Sellmann T, Koch T, Brandenburger T, Kindgen-Milles D, Brenner T, Berger M, Zacharowski K, Adam E, Posch M, Moerer O, Scheer CS, Sedding D, Weigand MA, Fichtner F, Nau C, Prätsch F, Wiesmann T, Koch C, Schneider G, Lahmer T, Straub A, Meiser A, Weiss M, Jungwirth B, Wappler F, Meybohm P, Herrmann J, Malek N, Kohlbacher O, Biergans S, Rosenberger P.;Crit Care. 2021 Aug 17,25(1):295. doi: 10.1186/s13054-021-03720-4.;Magunia H;Crit Care;2021;18-8-2021;PMC8370055;;10.1186/s13054-021-03720-4
34603366;Graph Representation Forecasting of Patient's Medical Conditions: Toward a Digital Twin;Barbiero P, Viñas Torné R, Lió P.;Front Genet. 2021 Sep 16,12:652907. doi: 10.3389/fgene.2021.652907. eCollection 2021.;Barbiero P;Front Genet;2021;4-10-2021;PMC8481902;;10.3389/fgene.2021.652907
34764586;The analysis of isolation measures for epidemic control of COVID-19;Huang B, Zhu Y, Gao Y, Zeng G, Zhang J, Liu J, Liu L.;Appl Intell (Dordr). 2021,51(5):3074-3085. doi: 10.1007/s10489-021-02239-z. Epub 2021 Feb 15.;Huang B;Appl Intell (Dordr);2021;12-11-2021;PMC7883891;;10.1007/s10489-021-02239-z
33571234;Prediction and control of COVID-19 spreading based on a hybrid intelligent model;Zhang G, Liu X.;PLoS One. 2021 Feb 11,16(2):e0246360. doi: 10.1371/journal.pone.0246360. eCollection 2021.;Zhang G;PLoS One;2021;11-2-2021;PMC7877772;;10.1371/journal.pone.0246360
34051491;Data-driven estimation of COVID-19 community prevalence through wastewater-based epidemiology;Li X, Kulandaivelu J, Zhang S, Shi J, Sivakumar M, Mueller J, Luby S, Ahmed W, Coin L, Jiang G.;Sci Total Environ. 2021 Oct 1,789:147947. doi: 10.1016/j.scitotenv.2021.147947. Epub 2021 May 23.;Li X;Sci Total Environ;2021;29-5-2021;PMC8141262;;10.1016/j.scitotenv.2021.147947
33539308;Using Automated Machine Learning to Predict the Mortality of Patients With COVID-19: Prediction Model Development Study;Ikemura K, Bellin E, Yagi Y, Billett H, Saada M, Simone K, Stahl L, Szymanski J, Goldstein DY, Reyes Gil M.;J Med Internet Res. 2021 Feb 26,23(2):e23458. doi: 10.2196/23458.;Ikemura K;J Med Internet Res;2021;4-2-2021;PMC7919846;;10.2196/23458
34725416;Estimating the COVID-19 prevalence and mortality using a novel data-driven hybrid model based on ensemble empirical mode decomposition;Wang Y, Xu C, Yao S, Wang L, Zhao Y, Ren J, Li Y.;Sci Rep. 2021 Nov 1,11(1):21413. doi: 10.1038/s41598-021-00948-6.;Wang Y;Sci Rep;2021;2-11-2021;PMC8560776;;10.1038/s41598-021-00948-6
34622475;Association of proton-pump inhibitor use with adverse health outcomes: A systematic umbrella review of meta-analyses of cohort studies and randomised controlled trials;Veettil SK, Sadoyu S, Bald EM, Chandran VP, Khuu SAT, Pitak P, Lee YY, Nair AB, Antony PT, Ford AC, Chaiyakunapruk N.;Br J Clin Pharmacol. 2021 Oct 7. doi: 10.1111/bcp.15103. Online ahead of print.;Veettil SK;Br J Clin Pharmacol;2021;8-10-2021;;;10.1111/bcp.15103
33303516;Modelling interventions to control COVID-19 outbreaks in a refugee camp;Gilman RT, Mahroof-Shaffi S, Harkensee C, Chamberlain AT.;BMJ Glob Health. 2020 Dec,5(12):e003727. doi: 10.1136/bmjgh-2020-003727.;Gilman RT;BMJ Glob Health;2020;11-12-2020;PMC7733233;;10.1136/bmjgh-2020-003727
34786287;DeepCOVIDNet: An Interpretable Deep Learning Model for Predictive Surveillance of COVID-19 Using Heterogeneous Features and Their Interactions;Ramchandani A, Fan C, Mostafavi A.;IEEE Access. 2020 Aug 28,8:159915-159930. doi: 10.1109/ACCESS.2020.3019989. eCollection 2020.;Ramchandani A;IEEE Access;2020;17-11-2021;PMC8545302;;10.1109/ACCESS.2020.3019989
34335992;Word embeddings and deep learning for location prediction: tracking Coronavirus from British and American tweets;Hasni S, Faiz S.;Soc Netw Anal Min. 2021,11(1):66. doi: 10.1007/s13278-021-00777-5. Epub 2021 Jul 27.;Hasni S;Soc Netw Anal Min;2021;2-8-2021;PMC8315503;;10.1007/s13278-021-00777-5
33204404;Measuring and Preventing COVID-19 Using the SIR Model and Machine Learning in Smart Health Care;Alanazi SA, Kamruzzaman MM, Alruwaili M, Alshammari N, Alqahtani SA, Karime A.;J Healthc Eng. 2020 Oct 29,2020:8857346. doi: 10.1155/2020/8857346. eCollection 2020.;Alanazi SA;J Healthc Eng;2020;18-11-2020;PMC7643377;;10.1155/2020/8857346
33855318;Behavioural changes during the COVID-19 pandemic: Results of a nationwide survey in Singapore;Long VJE, Liu JCJ.;Ann Acad Med Singap. 2021 Mar,50(3):222-231. doi: 10.47102/annals-acadmedsg.2020391.;Long VJE;Ann Acad Med Singap;2021;15-4-2021;;;10.47102/annals-acadmedsg.2020391
34402804;Impact of the COVID-19 Pandemic on Emergency Adult Surgical Patients and Surgical Services: An International Multi-center Cohort Study and Department Survey;Winter Beatty J, Clarke JM, Sounderajah V, Acharya A, Rabinowicz S, Martin G, Warren LR, Yalamanchili S, Scott AJ, Burgnon E, Purkayastha S, Markar S, Kinross JM, PANSURG-PREDICT Collaborative.;Ann Surg. 2021 Dec 1,274(6):904-912. doi: 10.1097/SLA.0000000000005152.;Winter Beatty J;Ann Surg;2021;17-8-2021;;;10.1097/SLA.0000000000005152
33939951;Clinical Outcomes of COVID-19 Patients Treated with Convalescent Plasma or Remdesivir Alone and in Combination at a Community Hospital in California's Central Valley;Padilla R, Arquiette J, Mai Y, Singh G, Galang K, Liang E.;J Pharm Pharm Sci. 2021,24:210-219. doi: 10.18433/jpps31969.;Padilla R;J Pharm Pharm Sci;2021;3-5-2021;;;10.18433/jpps31969
35043028;Power system load forecasting using mobility optimization and multi-task learning in COVID-19;Liu J, Zhang Z, Fan X, Zhang Y, Wang J, Zhou K, Liang S, Yu X, Zhang W.;Appl Energy. 2022 Mar 15,310:118303. doi: 10.1016/j.apenergy.2021.118303. Epub 2022 Jan 14.;Liu J;Appl Energy;2022;19-1-2022;PMC8758938;;10.1016/j.apenergy.2021.118303
33868501;Analysis and Prediction of COVID-19 Pandemic in Bangladesh by Using ANFIS and LSTM Network;Chowdhury AA, Hasan KT, Hoque KKS.;Cognit Comput. 2021,13(3):761-770. doi: 10.1007/s12559-021-09859-0. Epub 2021 Apr 12.;Chowdhury AA;Cognit Comput;2021;19-4-2021;PMC8041393;;10.1007/s12559-021-09859-0
33199801;DeepLMS: a deep learning predictive model for supporting online learning in the Covid-19 era;Dias SB, Hadjileontiadou SJ, Diniz J, Hadjileontiadis LJ.;Sci Rep. 2020 Nov 16,10(1):19888. doi: 10.1038/s41598-020-76740-9.;Dias SB;Sci Rep;2020;17-11-2020;PMC7669866;;10.1038/s41598-020-76740-9
34380456;A meta-analysis on the risk factors adjusted association between cardiovascular disease and COVID-19 severity;Xu J, Xiao W, Liang X, Shi L, Zhang P, Wang Y, Wang Y, Yang H.;BMC Public Health. 2021 Aug 11,21(1):1533. doi: 10.1186/s12889-021-11051-w.;Xu J;BMC Public Health;2021;12-8-2021;PMC8355578;;10.1186/s12889-021-11051-w
33907222;Estimating, monitoring, and forecasting COVID-19 epidemics: a spatiotemporal approach applied to NYC data;Albani VVL, Velho RM, Zubelli JP.;Sci Rep. 2021 Apr 27,11(1):9089. doi: 10.1038/s41598-021-88281-w.;Albani VVL;Sci Rep;2021;28-4-2021;PMC8079423;;10.1038/s41598-021-88281-w
32391439;Modeling the trend of coronavirus disease 2019 and restoration of operational capability of metropolitan medical service in China: a machine learning and mathematical model-based analysis;Liu Z, Huang S, Lu W, Su Z, Yin X, Liang H, Zhang H.;Glob Health Res Policy. 2020 May 6,5:20. doi: 10.1186/s41256-020-00145-4. eCollection 2020.;Liu Z;Glob Health Res Policy;2020;12-5-2020;PMC7200323;;10.1186/s41256-020-00145-4
34541278;Impact of COVID-19 on city-scale transportation and safety: An early experience from Detroit;Yao Y, Geara TG, Shi W.;Smart Health (Amst). 2021 Nov,22:100218. doi: 10.1016/j.smhl.2021.100218. Epub 2021 Sep 14.;Yao Y;Smart Health (Amst);2021;20-9-2021;PMC8438802;;10.1016/j.smhl.2021.100218
32834585;Going by the numbers : Learning and modeling COVID-19 disease dynamics;Basu S, Campbell RH.;Chaos Solitons Fractals. 2020 Sep,138:110140. doi: 10.1016/j.chaos.2020.110140. Epub 2020 Jul 20.;Basu S;Chaos Solitons Fractals;2020;25-8-2020;PMC7369612;;10.1016/j.chaos.2020.110140
32259197;Locally Informed Simulation to Predict Hospital Capacity Needs During the COVID-19 Pandemic;Weissman GE, Crane-Droesch A, Chivers C, Luong T, Hanish A, Levy MZ, Lubken J, Becker M, Draugelis ME, Anesi GL, Brennan PJ, Christie JD, Hanson CW 3rd, Mikkelsen ME, Halpern SD.;Ann Intern Med. 2020 Jul 7,173(1):21-28. doi: 10.7326/M20-1260. Epub 2020 Apr 7.;Weissman GE;Ann Intern Med;2020;8-4-2020;PMC7153364;;10.7326/M20-1260
34188610;Real-time prediction of COVID-19 patients health situations using Artificial Neural Networks and Fuzzy Interval Mathematical modeling;Elleuch MA, Hassena AB, Abdelhedi M, Pinto FS.;Appl Soft Comput. 2021 Oct,110:107643. doi: 10.1016/j.asoc.2021.107643. Epub 2021 Jun 24.;Elleuch MA;Appl Soft Comput;2021;30-6-2021;PMC8225317;;10.1016/j.asoc.2021.107643
34857194;Bioelectric impedance body composition and phase angle in relation to 90-day adverse outcome in hospitalized COVID-19 ward and ICU patients: The prospective BIAC-19 study;Moonen HP, Bos AE, Hermans AJ, Stikkelman E, van Zanten FJ, van Zanten AR.;Clin Nutr ESPEN. 2021 Dec,46:185-192. doi: 10.1016/j.clnesp.2021.10.010. Epub 2021 Oct 27.;Moonen HP;Clin Nutr ESPEN;2021;3-12-2021;PMC8548834;;10.1016/j.clnesp.2021.10.010
33102686;Ensemble learning model for diagnosing COVID-19 from routine blood tests;AlJame M, Ahmad I, Imtiaz A, Mohammed A.;Inform Med Unlocked. 2020,21:100449. doi: 10.1016/j.imu.2020.100449. Epub 2020 Oct 20.;AlJame M;Inform Med Unlocked;2020;26-10-2020;PMC7572278;;10.1016/j.imu.2020.100449
32834591;Forecasting Brazilian and American COVID-19 cases based on artificial intelligence coupled with climatic exogenous variables;da Silva RG, Ribeiro MHDM, Mariani VC, Coelho LDS.;Chaos Solitons Fractals. 2020 Oct,139:110027. doi: 10.1016/j.chaos.2020.110027. Epub 2020 Jun 30.;da Silva RG;Chaos Solitons Fractals;2020;25-8-2020;PMC7324930;;10.1016/j.chaos.2020.110027
33758734;Recurrent neural network ensemble, a new instrument for the prediction of infectious diseases;Puleio A.;Eur Phys J Plus. 2021,136(3):319. doi: 10.1140/epjp/s13360-021-01285-3. Epub 2021 Mar 16.;Puleio A;Eur Phys J Plus;2021;24-3-2021;PMC7970774;;10.1140/epjp/s13360-021-01285-3
34104256;Data Analysis and Forecasting of the COVID-19 Spread: A Comparison of Recurrent Neural Networks and Time Series Models;Gomez-Cravioto DA, Diaz-Ramos RE, Cantu-Ortiz FJ, Ceballos HG.;Cognit Comput. 2021 Jun 3:1-12. doi: 10.1007/s12559-021-09885-y. Online ahead of print.;Gomez-Cravioto DA;Cognit Comput;2021;9-6-2021;PMC8175062;;10.1007/s12559-021-09885-y
35192526;Analysis and modeling of COVID-19 epidemic dynamics in Saudi Arabia using SIR-PSO and machine learning approaches;Zrieq R, Boubaker S, Kamel S, Alzain M, Algahtani FD.;J Infect Dev Ctries. 2022 Jan 31,16(1):90-100. doi: 10.3855/jidc.15004.;Zrieq R;J Infect Dev Ctries;2022;22-2-2022;;;10.3855/jidc.15004
