Reference Type;Reference Id;Authors, Primary;Title Primary;Periodical Full;Periodical Abbrev;Pub Year;Pub Month & Day;Pub Date Free From;Volume;Issue;Start Page;Other Pages;Keywords;Abstract;Notes;Personal Notes;Authors, Secondary;Title Secondary;Edition;Publisher;Place Of Publication;Authors, Tertiary;Authors, Quaternary;Authors, Quinary;Title, Tertiary;ISSN/ISBN;Availability;Author/Address;Accession Number;Output Language;Language;Classification;Sub file/Database;Original Foreign Title;Links;URL;DOI;PMID;PMCID;Call Number;Database;Data Source;Identifying Phrase;Retrieved Date;Shortened Title;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15
Journal Article;RefID:1003-fratini2020special;"Fratini,Livan;Ragai,Ihab;Wang,Lihui";Special Issue of Journal of Manufacturing Processes on New Trends in Manufacturing Processes Research 2020;Procedia Manufacturing;;2020;;2020;48;;9;10;;;ID: 306234;;;;;;;;;;;2351-9789;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S235197892031550X;https://www.sciencedirect.com/science/article/pii/S235197892031550X;https://doi.org/10.1016/j.promfg.2020.05.098;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1002-yuxiao2021variable;"Yuxiao,Kang;Shuhua,Mao;Yonghong,Zhang";Variable order fractional grey model and its application;Applied Mathematical Modelling;Appl.Math.Model.;2021;;sep-21;97;;619;635;;The use of constant order differential equations to describe the evolution of complex systems is often unable to describe some of the changing characteristics of the systems accurately. Variable order fractional derivatives provide us with new tools to solve such problems. In this paper, the accumulation and derivative orders of the classic grey model are expanded from constants to functions, and a variable order fractional grey model is established to describe the evolution process of complex systems. Firstly, this paper defines the variable order fractional accumulation generation sequence. On the basis of this sequence, a variable order fractional derivative grey model is established, the parameters of the model are estimated using the least square method, and the quantum particle swarm optimization algorithm is used to solve the order of fractional derivative and accumulation. Sadik transform and Laplace transform are adopted to obtain the analytical solution of the new model. Lastly, the effectiveness of the new model is verified through four cases. Compared with other models, the variable order fractional model can describe the development process of complex systems more accurately.;ID: 271589;;;;;;;;;;;0307-904X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0307904X21002031;https://www.sciencedirect.com/science/article/pii/S0307904X21002031;https://doi.org/10.1016/j.apm.2021.03.059;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1001-meni̇z2021advanced;Meni̇z,Büşra;An advanced TOPSIS method with new fuzzy metric based on interval type-2 fuzzy sets;Expert Systems with Applications;Expert Syst.Appl.;2021;;30-dec-21;186;;115770;;;Decision-making techniques are among important topics applied in operations research. Multi-Criteria Decision-Making (MCDM) is one of the very commonly used subjects of this issue. Technique for Order Preference by Similarity to Ideal Solutions (TOPSIS) is among the most utilized MCDM approaches in terms of both convenience and efficiency. To provide the reality and ease of application of these methods as much as possible Interval Type-2 Fuzzy Numbers (IT2FN)s, a special kind of type-2 fuzzy sets (T2FS)s, are frequently used together with MCDM methods. However, before the final stage of the solution to the problem, defuzzification techniques are applied for obtaining the optimum solution. Switching to crisp numbers before the last step of the procedure reduces the effectiveness of using the IT2FNs. The aim of this paper is to contribute to the literature with a new idea of fuzzy metric function whose result is again a fuzzy number. The result of this study will be a serious contribution to the literature with its metric function structure that is a fuzzy number. A metric function whose result will be a fuzzy set can also be made for different fuzzy structures. Also, a new partial order relation will be given for IT2FNs to define this fuzzy metric function. Moreover, this new fuzzy metric will be adapted to the TOPSIS method. Hence, it will be assured that the defuzzification operations are used only in the final sorting stage and the advantage of using fuzzy numbers will be able to continue in further steps. The advanced TOPSIS with a new fuzzy metric will be applied to a video chat program selection problem as an example.;ID: 271506;;;;;;;;;;;0957-4174;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0957417421011416;https://www.sciencedirect.com/science/article/pii/S0957417421011416;https://doi.org/10.1016/j.eswa.2021.115770;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1000-2021table;Table of contents;;Clinical Genitourinary Cancer;;2021;;apr-21;19;2;A3;A6;;;ID: 280643;;;;;;;;;;;1558-7673;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1558767321000616;https://www.sciencedirect.com/science/article/pii/S1558767321000616;https://doi.org/10.1016/S1558-7673(21)00061-6;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:999-2021advisory;Advisory Board;;International Journal of Refrigeration;Int.J.Refrig.;2021;;aug-21;128;;;IFC;;;ID: 271448;;;;;;;;;;;0140-7007;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0140700721002498;https://www.sciencedirect.com/science/article/pii/S0140700721002498;https://doi.org/10.1016/S0140-7007(21)00249-8;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:998-wei2022recent;"Wei,Chu;Huang,Ying;Löschel,Andreas";Recent advances in energy demand for residential space heating;Energy and Buildings;Energy Build.;2022;;15-apr-22;261;;111965;;;Energy consumption for residential space heating has experienced a dramatic increase, driven by continuous income growth and demand for thermal comfort. Technology innovation, demand-side management, and system transition have been promoted to meet these needs while reducing negative impacts on the environment and public health. This special issue on “Energy Demand for Residential Space Heating: History and Outlook” improves our understanding of energy consumption for space heating. The purpose of this introductory article is to present research advances by summarizing recent literature as well as new findings and insights from this special issue. This research shows that heating energy systems show increasing disparity due to various local resources, building characteristics, climatic conditions, technology adoption, and economic status. Thus, more advanced algorithms and more detailed classification of these factors can more accurately measure and predict the energy demand for space heating. The goal of heating energy systems is to reduce energy consumption and carbon emissions without sacrificing thermal comfort. Most research focuses on how technology innovation, demand-side management strategies, or public policies can help achieve this goal. Current findings suggest that a comprehensive evaluation, considering technological feasibility, economic affordability, and environmental sustainability, is needed to promote the sustainable transition of heating energy systems.;ID: 271089;;;;;;;;;;;0378-7788;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0378778822001360;https://www.sciencedirect.com/science/article/pii/S0378778822001360;https://doi.org/10.1016/j.enbuild.2022.111965;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:997-de2021smart;De Giovanni,Pietro;Smart Supply Chains with vendor managed inventory, coordination, and environmental performance;European Journal of Operational Research;Eur.J.Oper.Res.;2021;;16 July 2021;292;2;515;531;;A dynamic brick-and-mortar Supply Chain (SC) evaluates the benefits of implementing smart applications and intelligent systems to improve the efficiency of a Vendor Managed Inventory (VMI). In the SC game, the manufacturer sets the production rate and replenishes the inventory at the retailer’s store. The retailer sets the price, which affects both the sales and the inventory. Firms share the revenues and the inventory costs through a sharing agreement. The inventory dynamics increase in the production rate, decrease in the sales and vary according to some stochastic and time-independent error terms. The adoption of a smart application allows the SC to remove these error terms. Nevertheless, the consulting company implementing the intelligent system charges fees that depend on the error term amplitude and inventory level. Furthermore, intelligent solutions allow the SC to better satisfy the consumers, although their impact on production and emissions may be detrimental questioning whether they lead to a responsible digitalization. We identify the conditions under which the adoption of a smart system is economically beneficial for the whole SC as well as its operational, environmental, and SC coordination implications.;ID: 271700;;;;;;;;;;;0377-2217;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0377221720309401;https://www.sciencedirect.com/science/article/pii/S0377221720309401;https://doi.org/10.1016/j.ejor.2020.10.049;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:996-he2021report;"He,Xiangli;Xu,Chong;Wang,Wei;Wang,Xinyu";Report on the establishment meeting of Committee on Earthquake Hazard Chain, Seismological Society of China and the first academic forum, 21–22 August 2021, Beijing, China;Natural Hazards Research;;2021;;Available online 29 December 2021;;;;;;The establishment meeting and the first academic forum of the Committee on the Earthquake Hazard Chain, Seismological Society of China were held on 21–22 August 2021 in Beijing, China. The theme of this activity was disaster prevention, mitigation, and relief for the earthquake hazard chain. It consisted of the opening ceremony and lectures presentation offline and online. This meeting provided a platform for scholars to display and exchange their research results regarding the earthquake hazard chain, and was expected to promote the scientific and technological development of prevention and mitigation of major natural disasters and emergency management in China.;ID: 777260;;;;;;;;;;;2666-5921;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2666592121000561;https://www.sciencedirect.com/science/article/pii/S2666592121000561;https://doi.org/10.1016/j.nhres.2021.12.003;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:995-chi2022quantitative;"Chi,Haixiao;Liao,Beishui";A quantitative argumentation-based Automated eXplainable Decision System for fake news detection on social media;Knowledge-Based Systems;Knowledge-Based Syst.;2022;;22-apr-22;242;;108378;;;Social media is flooded with rumors, which make fake news detection a pressing problem. Many black-box approaches have been proposed to automatically predict the veracity of claims. These methods are lack of interpretability. Thus, we propose a Quantitative Argumentation-based Automated eXplainable Decision-making System (QA-AXDS) to tackle this problem and provide users with explanations about the results. The system is fully data-driven in its processes, which allows our models to make greater use of data and be more automatic and scalable than other quantitative framework models. In terms of interpretability, the system can automatically acquire human-level knowledge, and interact with users in the form of dialog trees through explanatory models, thus helping them understand the internal reasoning process of the system. The experimental results show that our system has better transparency and interpretability than other approaches based on the pure machine learning methods, and performs competitively in accuracy among others. In addition, the explanation model provides a way to improve the algorithms when some problems are identified by checking the explanations.;ID: 271505;;;;;;;;;;;0950-7051;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0950705122001447;https://www.sciencedirect.com/science/article/pii/S0950705122001447;https://doi.org/10.1016/j.knosys.2022.108378;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:994-simolin2021charging;"Simolin,Toni;Rauma,Kalle;Viri,Riku;Mäkinen,Johanna;Rautiainen,Antti;Järventausta,Pertti";Charging powers of the electric vehicle fleet: Evolution and implications at commercial charging sites;Applied Energy;Appl.Energy;2021;;1-dec-21;303;;117651;;;Electric vehicle (EV) charging is widely studied in the scientific literature. However, there seems to be a notable research gap regarding the charging power limitations of the on-board chargers of the EVs. In this paper, the present state of the maximum charging powers of the on-board chargers is thoroughly analysed using data from two commercial charging sites. Furthermore, the results of the analysis are used along with an EV fleet development model to form realistic future scenarios, which are then used for a simulation model that couples the charging sessions with measured charging profiles. The results of the simulations show that, due to the evolution of the EV fleet, the average energy consumption in commercial locations will increase by 134% on average from 5.6 to 8.7 kWh/EV to 13.0–19.6 kWh/EV during 2020–2040. Similarly, the peak of the normalized power increases by 77% on average from 1.1 to 1.4 kW/EV to 1.6–2.9 kW/EV. These values are essential to guide long-term decisions such as optimal sizing of charging infrastructure and parking policies.;ID: 271429;;;;;;;;;;;0306-2619;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0306261921010187;https://www.sciencedirect.com/science/article/pii/S0306261921010187;https://doi.org/10.1016/j.apenergy.2021.117651;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:993-holloway2021dynamic;"Holloway,Timothy G.;Williams,John B.;Ouelhadj,Djamila;Yang,Gong";Dynamic resilience for biological wastewater treatment processes: Interpreting data for process management and the potential for knowledge discovery;Journal of Water Process Engineering;;2021;;aug-21;42;;102170;;;Climate change, population growth and increasing regulation are causing wastewater treatment plants to become increasingly stressed, especially in countries like the UK, where many of these systems date back to the early part of the 20th century. Understanding resilience dynamics for these ageing wastewater assets represents a fundamental step in classifying multi-dimensional water stressors toward preventing severe pollution incidents. This paper explores the potential of a novel dynamic resilience approach to assess and predict the dynamic resilience of biological wastewater treatment based on the separation of stressor events (cause) and process stress (effect) to consider the deviation from reference conditions. The approach presented provides a fundamental link between (1) conventional activated sludge modelling methodologies, (2) actual biological wastewater process instrument data (potential for knowledge discovery) and (3) the characterisation of dynamic resilience in wastewater treatment processes. Results first present the dynamic resilience approach by modelling simulated shock flow conditions on an activated sludge plant, then incorporates ten years of wastewater process instrument data to demonstrate the actual dynamic resilience. The aim is to represent the “dynamic resilience” as self-ordering windows, a visual knowledge base (three dimensional, heat map), which operational staff can easily interpret. The outcomes presented suggest that such an approach is feasible and has the potential for real-time identification of conditions that result in pollution incidents based on actual historical process instrument data (knowledge discovery). Also, the methods presented could be extended to develop an improved understanding of wastewater system resilience under a range of future stressor scenarios.;ID: 305753;;;;;;;;;;;2214-7144;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2214714421002579;https://www.sciencedirect.com/science/article/pii/S2214714421002579;https://doi.org/10.1016/j.jwpe.2021.102170;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:992-alsiyabi2021investigating;"Alsiyabi,Adil;Stroh,Seth;Saha,Rajib";Investigating the effect of E30 fuel on long term vehicle performance, adaptability and economic feasibility;Fuel;;2021;;15-dec-21;306;;121629;;;Due to the drawbacks associated with the use of petroleum derived fuels, the use of more sustainable fuel sources has garnered increasing attention in several sectors including road transportation. However, the transition away from gasoline is often hindered by the inability of currently operating vehicles to efficiently run under alternative fuels. Therefore, the logical short-term alternative is to transition to clean fuel sources including higher-ethanol fuel blends that are compatible with current fuel systems and spark-ignition engines. In this work, the long-term adaptability and economic feasibility of non-flex vehicles to consume a 30% ethanol (E30) fuel blend was investigated. Sixteen diagnostic and operating parameters were tracked in real-time in 50 vehicles over a one-year period. The vast amount of data generated was used to train sparse regression and machine learning models to explore differences in performance and operational robustness of commercial vehicles consuming E30 blends compared to the ones consuming 15% blends. Results indicate that although modest changes can be observed in the behavior of a subset of parameters, overall performance and adaptability are not compromised by consumption of E30. It was determined that an average price difference of 2.5% is sufficient to offset the mileage loss caused by the increased ethanol concentration.Finally, we discuss the large-scale environmental impact of an incremental nation-wide shift towards E30 consumption.;ID: 271496;;;;;;;;;;;0016-2361;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0016236121015106;https://www.sciencedirect.com/science/article/pii/S0016236121015106;https://doi.org/10.1016/j.fuel.2021.121629;;;;;;;;;;;;;;;;;;;;;;;
Book, Section;RefID:991-dincer2021chapter;"Dincer,Ibrahim;Erdemir,Dogan";Chapter 7 - Conclusions and Future Directions;;;2021;;2021;;;287;293;;This chapter provides two key outcomes of this book as conclusions to state some important points presented and discussed in the book and future directions to predict what would be the future trends and how to cope with these, along with some crucial subjects to deal with.;ID: 780625;;"Dincer,Ibrahim;Erdemir,Dogan";Heat Storage Systems for Buildings;;Elsevier;;;;;;9,78013E+12;;;;;;;;;https://www.sciencedirect.com/science/article/pii/B9780128235720000059;https://www.sciencedirect.com/science/article/pii/B9780128235720000059;https://doi.org/10.1016/B978-0-12-823572-0.00005-9;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:990-kang2022fractional;"Kang,Yuxiao;Mao,Shuhua;Zhang,Yonghong";Fractional time-varying grey traffic flow model based on viscoelastic fluid and its application;Transportation Research Part B: Methodological;;2022;;March 2022;157;;149;174;;Existing traffic flow models are insufficient to excavated the characteristics of fluids and are usually a constant coefficient differential model. They cannot reflect the characteristics of a traffic flow system changing with time, resulting in their poor adaptability. Firstly, the viscoelastic traffic flow model is simplified. The fractional viscoelastic traffic flow model is established in combination with modelling principle of the Bass model and successful application of fractional calculus in viscoelastic fluid. Conformable fractional derivative and the fractional grey model are then introduced to establish a fractional grey viscoelastic traffic flow model that can reflect time-varying characteristics. Finally, the new model is compared with traditional statistical models in terms of model efficiency and stability and is applied to the modelling of traffic flow and traffic congestion level in multiple scenarios. The modelling results are compared with six other models. Results show that the new model has better stability and modelling effect.;ID: 271728;;;;;;;;;;;0191-2615;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0191261522000194;https://www.sciencedirect.com/science/article/pii/S0191261522000194;https://doi.org/10.1016/j.trb.2022.01.007;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:989-kang2022empirical;"Kang,Liujiang;Zhao,Yue;Meng,Qiang";An empirical study of taxi crashes in Singapore;Asian Transport Studies;;2022;;2022;8;;100056;;;The 36-month taxi crash data include 41,538 taxi crash records distributed throughout 29 districts of Singapore (including Changi Airport), involving 16,933 taxis and 16,705 taxi drivers. We purposely use these data to analyze the impacts of nine influential factors on taxi crashes and give quantitative and practical suggestions on taxi driving safety. Our solid analysis shows that the maximum daily working time for a taxi driver is suggested to be less than 10 h for safety concerns because it could reduce the possible taxi crashes. In addition, the likelihood of taxi crashes in the daylight is the highest when compared to road conditions with streetlights or one without streetlights at all. We further use the random forest method to find the critical influential factors in blue and yellow taxi crashes. The relief and switcher modes are the two unique factors contributing to taxi crashes that are different from private car crashes. The findings of this study are of significant value for taxi operators and policymakers.;ID: 777614;;;;;;;;;;;2185-5560;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2185556022000025;https://www.sciencedirect.com/science/article/pii/S2185556022000025;https://doi.org/10.1016/j.eastsj.2022.100056;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:988-li2021research;Li,Xiaoyan;Research on optimization of setup time for product in the multi-product production system;Microprocessors and Microsystems;;2021;;February 2021;80;;103618;;;Consumers' consumption habits are more and more personalized and diversified, which makes the multi-product production system has been applied extensively in the factory worldwide. This brings a difficult problem to a large number of manufacturing enterprises: how to optimize the setup time of the product to achieve the purpose of improving the time efficiency. Based on this problem, this paper proposes the TCP technology for the optimization of setup time, that is, using the Times Series model, the Clustering Algorithm, and the Parallel Job technology in the Single Minute Exchange of Die (SMED), to form an application framework focusing on optimizing the product setup time. The validity of the technology is verified by a case study. This paper enriches the research field of setup time optimization, production planning, and the application of the Clustering Algorithm in the multi-product production system. It provides a new way for manufacturing enterprises to pursue an excellent efficiency of product setup time.;ID: 271554;;;;;;;;;;;0141-9331;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0141933120307651;https://www.sciencedirect.com/science/article/pii/S0141933120307651;https://doi.org/10.1016/j.micpro.2020.103618;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:987-davis2020detection;"Davis,Sharon E.;Greevy,Robert A.;Lasko,Thomas A.;Walsh,Colin G.;Matheny,Michael E.";Detection of calibration drift in clinical prediction models to inform model updating;Journal of Biomedical Informatics;J.Biomed.Inform.;2020;;dec-20;112;;103611;;;Model calibration, critical to the success and safety of clinical prediction models, deteriorates over time in response to the dynamic nature of clinical environments. To support informed, data-driven model updating strategies, we present and evaluate a calibration drift detection system. Methods are developed for maintaining dynamic calibration curves with optimized online stochastic gradient descent and for detecting increasing miscalibration with adaptive sliding windows. These methods are generalizable to support diverse prediction models developed using a variety of learning algorithms and customizable to address the unique needs of clinical use cases. In both simulation and case studies, our system accurately detected calibration drift. When drift is detected, our system further provides actionable alerts by including information on a window of recent data that may be appropriate for model updating. Simulations showed these windows were primarily composed of data accruing after drift onset, supporting the potential utility of the windows for model updating. By promoting model updating as calibration deteriorates rather than on pre-determined schedules, implementations of our drift detection system may minimize interim periods of insufficient model accuracy and focus analytic resources on those models most in need of attention.;ID: 272371;;;;;;;;;;;1532-0464;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1532046420302392;https://www.sciencedirect.com/science/article/pii/S1532046420302392;https://doi.org/10.1016/j.jbi.2020.103611;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:986-zhang2021seasonal;"Zhang,Lily N.;Woosley,Ryan J.";Seasonal trends in the Southeast Florida current and shelf CO2 fluxes;Continental Shelf Research;Cont.Shelf Res.;2021;;1-nov-21;229;;104566;;;An anthropogenically driven increase in atmospheric CO2 concentrations is known to drive an increase in the globally integrated ocean carbon sink. However, there is significant regional and seasonal variability, and significant changes in seasonal cycle amplitudes have been predicted. Three decades of sea surface observations collected from the southeast Florida Current and shelf waters reveal behavior over seasonal and interannual timescales for a region important to global carbon storage and transport. The strong temperature dependence of fCO2 in the region dominates the seasonal cycle of air-sea flux, although biophysical processes are also important. The possibility of wet and dry seasonal asymmetric trends through time were evaluated, but no statistically significant trends were found. The results indicate that uptake in the region has not changed over the last three decades after accounting for sampling bias and demonstrate the importance of robust seasonally unbiased data sets in conducting climate studies. Even in this highly sampled region, data distribution biases were found, mainly in the early 1990s. Seasonally biased data are thus not only a problem for polar regions but can also affect flux calculations in sub-tropical regions. Although not statistically significant to date, different responses in different seasons with time may lead to seasonal amplification and a decoupling of the annual mean and the seasonal means in the future.;ID: 271732;;;;;;;;;;;0278-4343;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0278434321002223;https://www.sciencedirect.com/science/article/pii/S0278434321002223;https://doi.org/10.1016/j.csr.2021.104566;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:985-2020proceedings;Proceedings of the American Radium Society's 102nd Annual Meeting;;International Journal of Radiation Oncology*Biology*Physics;;2020;;1 October 2020;108;2, Supplement;A1;A2;;;ID: 271185;;;;;;;;;;;0360-3016;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0360301620343492;https://www.sciencedirect.com/science/article/pii/S0360301620343492;https://doi.org/10.1016/j.ijrobp.2020.09.047;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:984-essiet2021optimal;"Essiet,Ima O.;Sun,Yanxia";Optimal open-circuit voltage (OCV) model for improved electric vehicle battery state-of-charge in V2G services;Energy Reports;;2021;;nov-21;7;;4348;4359;;Electric vehicles (EVs) with voltage-to-grid (V2G) capability are useful in augmenting grid capability to handle high energy demand of end users during peak periods. We propose a hybrid state-of-charge (SOC) battery model with aggregator to optimize battery charging and maintain grid stability during peak periods. The proposed SOC model leverages the advantages of three well-known previously proposed battery models namely: Shepherd, Unnewehr and Nernst models. The proposed hybrid model is a combination of the merits of the three specified empirical Lithium-ion battery models to optimize slow charging. This will enhance battery performance by improving its depth-of-discharge profile. This results in enhanced V2G capability and longer driving time for EV owners. Battery parameters used in the simulation are for Nissan Leaf 2019 EV. The proposed SOC model parameters are used to optimize a two-objective function which is used by the aggregator to maximize benefits to both EV owners and DSO. Multi-objective genetic algorithm (MOGA) is used to optimize the objective function because of its ability to obtain non-dominated solutions while still maintaining diversity of the solutions. From simulation results, proposed OCV model improves battery SOC by 10% after V2G operating period (2 p.m.) compared to a case without the model. Also, proposed model earns aggregator $445 and $45 more for voltage and frequency regulation services, respectively. Voltage stability of all 5 considered grid buses of the IEEE 33-node system remains at 0.9–1.0 p.u.;ID: 311225;;;;;;;;;;;2352-4847;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2352484721004947;https://www.sciencedirect.com/science/article/pii/S2352484721004947;https://doi.org/10.1016/j.egyr.2021.07.029;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:983-ko2021genetic;"Ko,Charmeine;Brody,James P.";A genetic risk score for glioblastoma multiforme based on copy number variations;Cancer Treatment and Research Communications;;2021;;2021;27;;100352;;;Glioblastoma multiforme is the most common form of brain cancer. Several lines of evidence suggest that glioblastoma multiforme has a genetic basis. A genetic test that could identify people who are at high risk of developing glioblastoma multiforme could improve our understanding of this form of brain cancer. Using the Cancer Genome Atlas (TCGA) dataset, we found common germ line DNA copy number variations in the TCGA population. We tested whether different sets of these germ line DNA copy number variations could effectively distinguish patients with glioblastoma multiforme from others in the TCGA dataset. We used a gradient boosting machine, a machine learning classification algorithm, to classify TCGA patients solely based on a set of germline DNA copy number variations. We found that this machine learning algorithm could classify TCGA glioblastoma multiforme patients from the other TCGA patients with an area under the curve (AUC) of the receiver operating characteristic curve (AUC=0.875). Grouped into quintiles, the highest ranked quintile by the machine learning algorithm had an odds ratio of 3.78 (95% CI 3.25–4.40) higher than the average odds ratio and about 40 (95% CI 20–70) times higher than the lowest quintile. The identification of an effective germ line genetic test to stratify risk of developing glioblastoma multiforme should lead to a better understanding of how this cancer forms. This result might ultimately lead to better treatments of glioblastoma multiforme.;ID: 314563;;;;;;;;;;;2468-2942;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2468294221000502;https://www.sciencedirect.com/science/article/pii/S2468294221000502;https://doi.org/10.1016/j.ctarc.2021.100352;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:982-ge2020computation;"Ge,Xing;Ding,Yujian;Yao,Xiuyuan;Lv,Fangcheng;Yang,Bingxue";Computation of breakdown voltage of long rod-plane air gaps in large temperature and humidity range under positive standard switching impulse voltage;Electric Power Systems Research;Electr.Power Syst.Res.;2020;;October 2020;187;;106518;;;The 50% breakdown voltage of the air gap is an important basis for the design of the external insulation of the high voltage power systems, and the atmospheric conditions have a large impact on the breakdown voltage of the air gap. The temperature and humidity of the operating environment of the high voltage power systems have a wide range. The breakdown voltages of the gaps obtained in the laboratory are mostly near the standard atmospheric conditions, and there is no good way to calculate the discharge voltage outside the standard atmospheric conditions. This paper established a 50% positive switching impulse breakdown voltage prediction model based on the cuckoo search algorithm optimized support vector regression for the rod-plane air gap. This calculation model is used to predict the selected prediction data. The predicted results are basically consistent with the experimental results, and the effect is better than the atmospheric correction results. Finally, the method was used to calculate the 50% positive impulse breakdown voltage of the rod-plane air gap under the extreme temperature and humidity conditions in Beijing. This method provides a new idea for obtaining the air gap breakdown voltage under different atmospheric conditions.;ID: 271091;;;;;;;;;;;0378-7796;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0378779620303229;https://www.sciencedirect.com/science/article/pii/S0378779620303229;https://doi.org/10.1016/j.epsr.2020.106518;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:981-prataviera2022evaluation;"Prataviera,Enrico;Vivian,Jacopo;Lombardo,Giulia;Zarrella,Angelo";Evaluation of the impact of input uncertainty on urban building energy simulations using uncertainty and sensitivity analysis;Applied Energy;Appl.Energy;2022;;1-apr-22;311;;118691;;;The energy consumption of cities is increasing fast due to growing global population and rapid urbanization. Urban Building Energy Models (UBEMs) are promising tools to simulate the energy demand of buildings under different urban scenarios. Nowadays, the major barriers to the effective use of UBEMs are the uncertainty related to their input parameters and the lack of good-quality, open energy consumption data. The latter make deterministic UBEM simulations unreliable, and calibration approaches unsuitable for most cities in the world. The present work proposes to combine physics-based UBEMs with Uncertainty and Sensitivity Analysis on the main input parameters using aggregated data on energy use from regional/national statistics. The proposed procedure selects the most influential input parameters and characterizes their uncertainty through Forward Uncertainty Analysis and Sensitivity Analysis to obtain stochastic load profiles for space heating and cooling. The method was first tested against hourly thermal power profiles metered on a heterogeneous sample of buildings in Verona (Italy). The average heating load profile obtained is significantly improved compared to deterministic, archetype-based simulations in terms of energy needs and peak loads. The overestimation of residential buildings peak load is reduced from 80% to 25%, and the deviation in the energy needs calculation drops from 18% to 10%. The proposed simulation procedure was then applied to a district of Milan (Italy), including more than 600 buildings, resulting in similar variations. Overall, the results demonstrate that considering the uncertainty of operational, geometrical and physical parameters is of the utmost importance to obtain reliable urban simulations.;ID: 271429;;;;;;;;;;;0306-2619;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0306261922001568;https://www.sciencedirect.com/science/article/pii/S0306261922001568;https://doi.org/10.1016/j.apenergy.2022.118691;;;;;;;;;;;;;;;;;;;;;;;
